Barbie World (with Aqua) [From Barbie The Album],2023,"Nicki Minaj, Aqua, Ice Spice",,,,,,,,,,,
Angels Like You,2020,Miley Cyrus,,,,,,,,,,,
I Ain't Worried,2022,OneRepublic,,,,,,,,,,,
Die For You,2016,The Weeknd,,,,,,,,,,,
Starboy,2016,"The Weeknd, Daft Punk",,,,,,,,,,,
Die For You - Remix,2023,"Ariana Grande, The Weeknd",,,,,,,,,,,
El Cielo,2023,"Feid, Myke Towers, Sky Rompiendo",,,,,,,,,,,
Baby Don't Hurt Me,2023,"David Guetta, Anne-Marie, Coi Leray",,,,,,,,,,,
AMARGURA,2023,Karol G,,,,,,,,,,,
(It Goes Like) Nanana - Edit,2023,Peggy Gou,,,,,,,,,,,
Another Love,2012,Tom Odell,,,,,,,,,,,
Blinding Lights,2019,The Weeknd,,,,,,,,,,,
Moonlight,2023,Kali Uchis,,,,,,,,,,,
La Bachata,2022,Manuel Turizo,,,,,,,,,,,
S91,2023,Karol G,,,,,,,,,,,
cardigan,2020,Taylor Swift,,,,,,,,,,,
Tï¿½ï¿,2023,"dennis, MC Kevin o Chris",,,,,,,,,,,
Boy's a liar Pt. 2,2023,"PinkPantheress, Ice Spice",,,,,,,,,,,
Left and Right (Feat. Jung Kook of BTS),2022,"Charlie Puth, BTS, Jung Kook",,,,,,,,,,,
BESO,2023,"Rauw Alejandro, ROSALï¿½",,,,,,,,,,,
Hey Mor,2022,"Ozuna, Feid",,,,,,,,,,,
Yellow,1999,Chris Molitor,,,,,,,,,,,
Karma,2022,Taylor Swift,,,,,,,,,,,
People,2022,Libianca,,,,,,,,,,,
Overdrive,2023,Post Malone,,,,,,,,,,,
Enchanted (Taylor's Version),2023,Taylor Swift,,,,,,,,,,,
BABY HELLO,2023,"Rauw Alejandro, Bizarrap",,,,,,,,,,,
Heat Waves,2020,Glass Animals,,,,,,,,,,,
golden hour,2022,JVKE,,,,,,,,,,,
Sweater Weather,2012,The Neighbourhood,,,,,,,,,,,
"Quevedo: Bzrp Music Sessions, Vol. 52",2022,"Bizarrap, Quevedo",,,,,,,,,,,
Viva La Vida,2008,Coldplay,,,,,,,,,,,
Here With Me,2022,d4vd,,,,,,,,,,,
Unholy (feat. Kim Petras),2022,"Sam Smith, Kim Petras",,,,,,,,,,,
Yandel 150,2022,"Yandel, Feid",,,,,,,,,,,
CORAZï¿½ï¿½N VA,2023,Maria Becerra,,,,,,,,,,,
Riptide,1975,Vance Joy,,,,,,,,,,,
Until I Found You (with Em Beihold) - Em Beihold Version,2022,"Em Beihold, Stephen Sanchez",,,,,,,,,,,
Novidade na ï¿½ï¿,2023,"Mc Livinho, DJ Matt D",,,,,,,,,,,
Back To December (Taylor's Version),2023,Taylor Swift,,,,,,,,,,,
STAY (with Justin Bieber),2021,"Justin Bieber, The Kid Laroi",,,,,,,,,,,
El Merengue,2023,"Marshmello, Manuel Turizo",,,,,,,,,,,
Someone You Loved,2018,Lewis Capaldi,,,,,,,,,,,
Me Porto Bonito,2022,"Chencho Corleone, Bad Bunny",,,,,,,,,,,
Makeba,2015,Jain,,,,,,,,,,,
MONTAGEM - FR PUNK,2012,"Ayparia, unxbected",,,,,,,,,,,
Fast Car,2023,Luke Combs,,,,,,,,,,,
What It Is (Solo Version),2023,Doechii,,,,,,,,,,,
Coco Chanel,2023,"Bad Bunny, Eladio Carrion",,,,,,,,,,,
Donï¿½ï¿½ï¿½t Bl,2017,Taylor Swift,,,,,,,,,,,
Still With You,2020,Jung Kook,,,,,,,,,,,
All My Life (feat. J. Cole),2023,"J. Cole, Lil Durk",,,,,,,,,,,
Say Yes To Heaven,2023,Lana Del Rey,,,,,,,,,,,
Snooze,2022,SZA,,,,,,,,,,,
Summertime Sadness,2011,Lana Del Rey,,,,,,,,,,,
Take Two,2023,BTS,,,,,,,,,,,
Lover,2012,Taylor Swift,,,,,,,,,,,
Too Many Nights (feat. Don Toliver & with Future),2022,"Future, Metro Boomin, Don Toliver",,,,,,,,,,,
Chemical,2023,Post Malone,,,,,,,,,,,
Mockingbird,2004,Eminem,,,,,,,,,,,
New Jeans,2023,NewJeans,,,,,,,,,,,
Primera Cita,2022,Carin Leon,,,,,,,,,,,
Cold Heart - PNAU Remix,2017,"Dua Lipa, Elton John, Pnau",,,,,,,,,,,
Dandelions,2017,Ruth B.,,,,,,,,,,,
Bones,2021,Imagine Dragons,,,,,,,,,,,
Set Fire to the Rain,2011,Adele,,,,,,,,,,,
Money Trees,2012,"Kendrick Lamar, Jay Rock",,,,,,,,,,,
Tak Segampang Itu,2022,Anggi Marito,,,,,,,,,,,
LAGUNAS,2023,"Jasiel Nuï¿½ï¿½ez, Peso P",,,,,,,,,,,
Mine (Taylor's Version),2023,Taylor Swift,,,,,,,,,,,
Everybody Wants To Rule The World,1985,Tears For Fears,,,,,,,,,,,
No Role Modelz,2014,J. Cole,,,,,,,,,,,
Tattoo,2023,Loreen,,,,,,,,,,,
Rara Vez,2023,"Taiu, Milo j",,,,,,,,,,,
VAGABUNDO,2023,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",,,,,,,,,,,
august,2020,Taylor Swift,,,,,,,,,,,
LUNA,2023,"Junior H, Peso Pluma",,,,,,,,,,,
Miracle (with Ellie Goulding),2023,"Calvin Harris, Ellie Goulding",,,,,,,,,,,
Nonsense,2022,Sabrina Carpenter,,,,,,,,,,,
Que Vuelvas,2022,"Carin Leon, Grupo Frontera",,,,,,,,,,,
Por las Noches,2021,Peso Pluma,,,,,,,,,,,
Feliz Cumpleaï¿½ï¿½os Fe,2022,Feid,,,,,,,,,,,
Can't Hold Us (feat. Ray Dalton),2011,"Ray Dalton, Ryan Lewis, Macklemore",,,,,,,,,,,
Watermelon Sugar,2019,Harry Styles,,,,,,,,,,,
lovely - Bonus Track,2017,"Billie Eilish, Khalid",,,,,,,,,,,
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,"Rauw Alejandro, Bizarrap",,,,,,,,,,,
Queencard,2023,(G)I-DLE,,,,,,,,,,,
OMG,2023,NewJeans,,,,,,,,,,,
Radio,2011,Lana Del Rey,,,,,,,,,,,
"Shakira: Bzrp Music Sessions, Vol. 53",2023,"Shakira, Bizarrap",,,,,,,,,,,
505,2007,Arctic Monkeys,,,,,,,,,,,
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",2023,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",,,,,,,,,,,
Trance (with Travis Scott & Young Thug),2022,"Travis Scott, Young Thug, Metro Boomin",,,,,,,,,,,
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",,,,,,,,,,,
Perfect,2017,Ed Sheeran,,,,,,,,,,,
Romantic Homicide,2022,d4vd,,,,,,,,,,,
Believer,2017,Imagine Dragons,,,,,,,,,,,
Novo Balanï¿½,2023,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",,,,,,,,,,,
"Gol Bolinha, Gol Quadrado 2",2023,"Mc Pedrinho, DJ 900",,,,,,,,,,,
Without Me,2002,Eminem,,,,,,,,,,,
QUEMA,2023,"Sog, Ryan Castro, Peso Pluma",,,,,,,,,,,
Stargirl Interlude,2016,"The Weeknd, Lana Del Rey",,,,,,,,,,,
Ojitos Lindos,2022,"Bomba Estï¿½ï¿½reo, Bad B",,,,,,,,,,,
Somewhere Only We Know,2004,Keane,,,,,,,,,,,
Those Eyes,2019,New West,,,,,,,,,,,
El Gordo Trae El Mando,2023,Chino Pacas,,,,,,,,,,,
Mi Bello Angel,2023,Natanael Cano,,,,,,,,,,,
Bye,2023,Peso Pluma,,,,,,,,,,,
Danza Kuduro,2010,"Don Omar, Lucenzo",,,,,,,,,,,
Nosso Quadro,2023,"Ana Castela, AgroPlay",,,,,,,,,,,
Locked Out Of Heaven,2012,Bruno Mars,,,,,,,,,,,
Un Finde | CROSSOVER #2,2023,"Big One, FMK, Ke personajes",,,,,,,,,,,
Jimmy Cooks (feat. 21 Savage),2022,"Drake, 21 Savage",,,,,,,,,,,
Counting Stars,2013,OneRepublic,,,,,,,,,,,
Ghost,2021,Justin Bieber,,,,,,,,,,,
Under The Influence,2019,Chris Brown,,,,,,,,,,,
PRC,2023,"Natanael Cano, Peso Pluma",,,,,,,,,,,
Gasolina,2004,Daddy Yankee,,,,,,,,,,,
One Dance,2016,"Drake, WizKid, Kyla",,,,,,,,,,,
Enchanted,2010,Taylor Swift,,,,,,,,,,,
Save Your Tears,2020,The Weeknd,,,,,,,,,,,
Sure Thing,2010,Miguel,,,,,,,,,,,
Every Breath You Take - Remastered 2003,1983,The Police,,,,,,,,,,,
The Night We Met,2015,Lord Huron,,,,,,,,,,,
We Found Love,2011,"Rihanna, Calvin Harris",,,,,,,,,,,
When I Was Your Man,2012,Bruno Mars,,,,,,,,,,,
Let Me Down Slowly,2018,Alec Benjamin,,,,,,,,,,,
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",2023,"A$AP Rocky, Metro Boomin, Roisee",,,,,,,,,,,
Do I Wanna Know?,2013,Arctic Monkeys,,,,,,,,,,,
Demons,2012,Imagine Dragons,,,,,,,,,,,
ýýýýýýýýýýýý,2023,YOASOBI,,,,,,,,,,,
Reminder,2016,The Weeknd,,,,,,,,,,,
Shake It Off,2014,Taylor Swift,,,,,,,,,,,
Why'd You Only Call Me When You're High?,2013,Arctic Monkeys,,,,,,,,,,,
SNAP,2022,Rosa Linn,,,,,,,,,,,
Shape of You,2017,Ed Sheeran,,,,,,,,,,,
Night Changes,2014,One Direction,,,,,,,,,,,
Fin de Semana,2023,"Oscar Maydon, Junior H",,,,,,,,,,,
Creep,1992,Radiohead,,,,,,,,,,,
Car's Outside,2019,James Arthur,,,,,,,,,,,
Apocalypse,2017,Cigarettes After Sex,,,,,,,,,,,
Cheques,2023,Shubh,,,,,,,,,,,
Pink + White,2016,Frank Ocean,,,,,,,,,,,
Circles,2019,Post Malone,,,,,,,,,,,
Just The Way You Are,2010,Bruno Mars,,,,,,,,,,,
Take Me To Church,2013,Hozier,,,,,,,,,,,
Bebe Dame,2022,"Fuerza Regida, Grupo Frontera",,,,,,,,,,,
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,2021,Taylor Swift,,,,,,,,,,,
Titi Me Preguntï¿,2022,Bad Bunny,,,,,,,,,,,
Better Than Revenge (Taylor's Version),2023,Taylor Swift,,,,,,,,,,,
Shut up My Moms Calling,2020,Hotel Ugly,,,,,,,,,,,
Have You Ever Seen The Rain?,1968,Creedence Clearwater Revival,,,,,,,,,,,
Es un Secreto,2010,Plan B,,,,,,,,,,,
POLARIS - Remix,2023,"Feid, Mora, Saiko, Quevedo",,,,,,,,,,,
Ditto,2022,NewJeans,,,,,,,,,,,
Take On Me,1984,a-ha,,,,,,,,,,,
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",2023,"Swae Lee, Lil Wayne, Offset, Metro Boomin",,,,,,,,,,,
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",2023,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",,,,,,,,,,,
Acrï¿½ï¿½s,2023,Shakira,,,,,,,,,,,
AMG,2022,"Natanael Cano, Gabito Ballesteros, Peso Pluma",,,,,,,,,,,
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",2023,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",,,,,,,,,,,
S-Class,2023,Stray Kids,,,,,,,,,,,
Hits Different,2023,Taylor Swift,,,,,,,,,,,
Chanel,2023,"Becky G, Peso Pluma",,,,,,,,,,,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),2023,"Metro Boomin, Coi Leray",,,,,,,,,,,
Area Codes,2023,"Kaliii, Kaliii",,,,,,,,,,,
Abcdario,2023,"Junior H, Eden Muï¿½ï",,,,,,,,,,,
Obsessed,2022,"Abhijay Sharma, Riar Saab",,,,,,,,,,,
Piï¿½ï¿½man Deï¿,2023,"Semicenk, Doï¿½ï¿½u ",,,,,,,,,,,
FLOWER,2023,JISOO,,,,,,,,,,,
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",2023,"Future, Lil Uzi Vert, Metro Boomin",,,,,,,,,,,
Eyes Closed,2023,Ed Sheeran,,,,,,,,,,,
Escapism.,2022,"RAYE, 070 Shake",,,,,,,,,,,
La Jumpa,2022,"Arcangel, Bad Bunny",,,,,,,,,,,
Karma (feat. Ice Spice),2023,"Taylor Swift, Ice Spice",,,,,,,,,,,
Superhero (Heroes & Villains) [with Future & Chris Brown],2022,"Future, Chris Brown, Metro Boomin",,,,,,,,,,,
Las Morras,2023,"BLESSD, Peso Pluma",,,,,,,,,,,
CHORRITO PA LAS ANIMAS,2022,Feid,,,,,,,,,,,
Ch y la Pizza,2022,"Fuerza Regida, Natanael Cano",,,,,,,,,,,
Snow On The Beach (feat. More Lana Del Rey),2023,"Lana Del Rey, Taylor Swift",,,,,,,,,,,
Players,2022,Coi Leray,,,,,,,,,,,
Bite Me,2023,ENHYPEN,,,,,,,,,,,
Stand By Me (feat. Morgan Wallen),2023,"Lil Durk, Morgan Wallen",,,,,,,,,,,
Normal,2022,Feid,,,,,,,,,,,
Hummingbird (Metro Boomin & James Blake),2023,"James Blake, Metro Boomin",,,,,,,,,,,
Seu Brilho Sumiu - Ao Vivo,2023,"Israel & Rodolffo, Mari Fernandez",,,,,,,,,,,
Bad Habit,2022,Steve Lacy,,,,,,,,,,,
CUFF IT,2022,Beyoncï¿,,,,,,,,,,,
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),2023,"Halsey, Suga",,,,,,,,,,,
69,2023,"Nicky Jam, Feid",,,,,,,,,,,
Niï¿½ï¿½a Bo,2023,"Sean Paul, Feid",,,,,,,,,,,
Search & Rescue,2023,Drake,,,,,,,,,,,
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2023,"Kendrick Lamar, Beyoncï¿",,,,,,,,,,,
Lavender Haze,2022,Taylor Swift,,,,,,,,,,,
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",2023,"WizKid, Toian, Metro Boomin, Don Toliver, Beam",,,,,,,,,,,
Efecto,2022,Bad Bunny,,,,,,,,,,,
Erro Gostoso - Ao Vivo,2023,Simone Mendes,,,,,,,,,,,
Cupido,2023,Tini,,,,,,,,,,,
Just Wanna Rock,2022,Lil Uzi Vert,,,,,,,,,,,
Unstoppable,2016,Sia,,,,,,,,,,,
Until I Found You,2021,Stephen Sanchez,,,,,,,,,,,
Rich Flex,2022,"Drake, 21 Savage",,,,,,,,,,,
Easy On Me,2021,Adele,,,,,,,,,,,
Cartï¿½ï¿½o B,2023,"MC Caverinha, KayBlack",,,,,,,,,,,
Danger (Spider) (Offset & JID),2023,"Offset, JID",,,,,,,,,,,
Oi Balde - Ao Vivo,2023,Zï¿½ï¿½ Neto & Crist,,,,,,,,,,,
The Real Slim Shady,2000,Eminem,,,,,,,,,,,
MERCHO,2022,"Migrantes, LiL CaKe, Nico Valdi",,,,,,,,,,,
The Color Violet,2021,Tory Lanez,,,,,,,,,,,
Glimpse of Us,2022,Joji,,,,,,,,,,,
Mejor Que Yo,2023,"Mambo Kingz, DJ Luian, Anuel Aa",,,,,,,,,,,
Curtains,2023,Ed Sheeran,,,,,,,,,,,
UNFORGIVEN (feat. Nile Rodgers),2023,"Nile Rodgers, LE SSERAFIM",,,,,,,,,,,
Haegeum,2023,Agust D,,,,,,,,,,,
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,2023,"Rich The Kid, Matuï¿",,,,,,,,,,,
MIENTRAS ME CURO DEL CORA,2023,Karol G,,,,,,,,,,,
Never Felt So Alone,2023,Labrinth,,,,,,,,,,,
X SI VOLVEMOS,2023,"Karol G, Romeo Santos",,,,,,,,,,,
ceilings,2022,Lizzy McAlpine,,,,,,,,,,,
Cupid,2023,Fifty Fifty,,,,,,,,,,,
I AM,2023,IVE,,,,,,,,,,,
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,1997,sped up 8282,,,,,,,,,,,
Shorty Party,2023,"Cartel De Santa, La Kelly",,,,,,,,,,,
Super,2023,SEVENTEEN,,,,,,,,,,,
Slut Me Out,2022,NLE Choppa,,,,,,,,,,,
Double Fantasy (with Future),2023,"The Weeknd, Future",,,,,,,,,,,
All Of The Girls You Loved Before,2019,Taylor Swift,,,,,,,,,,,
PROVENZA,2022,Karol G,,,,,,,,,,,
Princess Diana (with Nicki Minaj),2023,"Nicki Minaj, Ice Spice",,,,,,,,,,,
Di Que Si,2023,"Grupo Marca Registrada, Grupo Frontera",,,,,,,,,,,
Shivers,2021,Ed Sheeran,,,,,,,,,,,
Igualito a Mi Apï¿,2022,"Fuerza Regida, Peso Pluma",,,,,,,,,,,
Shoong! (feat. LISA of BLACKPINK),2023,"TAEYANG, Lisa",,,,,,,,,,,
Komang,2022,Raim Laode,,,,,,,,,,,
DESPECHï¿,2022,ROSALï¿½,,,,,,,,,,,
Made You Look,2022,Meghan Trainor,,,,,,,,,,,
Watch This - ARIZONATEARS Pluggnb Remix,2023,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",,,,,,,,,,,
No Se Va,2022,Grupo Frontera,,,,,,,,,,,
Punto G,2022,Quevedo,,,,,,,,,,,
Lovers Rock,2014,TV Girl,,,,,,,,,,,
METAMORPHOSIS,2021,INTERWORLD,,,,,,,,,,,
Mami Chula,2023,"Quevedo, Jhayco",,,,,,,,,,,
En Paris,2022,"El Chachito, Junior H",,,,,,,,,,,
Set Me Free Pt.2,2023,Jimin,,,,,,,,,,,
I Was Never There,2018,"The Weeknd, Gesaffelstein",,,,,,,,,,,
Don't ever say love me (feat. RM of BTS),2023,"RM, Colde",,,,,,,,,,,
Shut Down,2022,BLACKPINK,,,,,,,,,,,
Gato de Noche,2022,"Nengo Flow, Bad Bunny",,,,,,,,,,,
Call Out My Name,2018,The Weeknd,,,,,,,,,,,
Like Crazy (English Version),2023,Jimin,,,,,,,,,,,
Rosa Pastel,2023,"Jasiel Nuï¿½ï¿½ez, Peso P",,,,,,,,,,,
Sunroof,2021,"Nicky Youre, Dazy",,,,,,,,,,,
Lose Yourself - Soundtrack Version,2002,Eminem,,,,,,,,,,,
Superman,2002,"Eminem, Dina Rae",,,,,,,,,,,
Mas Rica Que Ayer,2023,"Mambo Kingz, DJ Luian, Anuel Aa",,,,,,,,,,,
People Pt.2 (feat. IU),2023,"IU, Agust D",,,,,,,,,,,
REMIX EXCLUSIVO,2023,Feid,,,,,,,,,,,
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol",2023,"Arcangel, Bizarrap",,,,,,,,,,,
DOGTOOTH,2023,"Tyler, The Creator",,,,,,,,,,,
10:35,2022,"Tiï¿½ï¿½sto, Tate M",,,,,,,,,,,
SORRY NOT SORRY,2023,"Tyler, The Creator",,,,,,,,,,,
HAPPY,2023,NF,,,,,,,,,,,
La Bebe,2021,Yng Lvcas,,,,,,,,,,,
I Know - PR1SVX Edit,2023,"Kanii, PR1ISVX",,,,,,,,,,,
Late Night Talking,2022,Harry Styles,,,,,,,,,,,
Leï¿½,2022,Marï¿½ï¿½lia Mendo,,,,,,,,,,,
Save Your Tears (with Ariana Grande) (Remix),2020,"Ariana Grande, The Weeknd",,,,,,,,,,,
Something in the Orange,2022,Zach Bryan,,,,,,,,,,,
VOID,2023,Melanie Martinez,,,,,,,,,,,
Dijeron Que No La Iba Lograr,2023,"Fuerza Regida, Chino Pacas",,,,,,,,,,,
Midnight Rain,2022,Taylor Swift,,,,,,,,,,,
If We Ever Broke Up,2023,Mae Stephens,,,,,,,,,,,
You Proof,2022,Morgan Wallen,,,,,,,,,,,
LA INOCENTE,2022,"Feid, Mora",,,,,,,,,,,
Malas Decisiones,2022,Kenia OS,,,,,,,,,,,
Murder In My Mind,2022,Kordhell,,,,,,,,,,,
Gangsta's Paradise,1995,"Coolio, L.V.",,,,,,,,,,,
CAIRO,2022,"Karol G, Ovy On The Drums",,,,,,,,,,,
I Love You So,2014,The Walters,,,,,,,,,,,
Dark Red,2017,Steve Lacy,,,,,,,,,,,
Say You Won't Let Go,2016,James Arthur,,,,,,,,,,,
The Hills,2015,The Weeknd,,,,,,,,,,,
Heart To Heart,2019,Mac DeMarco,,,,,,,,,,,
Peaches (from The Super Mario Bros. Movie),2023,Jack Black,,,,,,,,,,,
Marisola - Remix,2022,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",,,,,,,,,,,
LOKERA,2022,"Brray, Rauw Alejandro, Lyanno",,,,,,,,,,,
Low,2022,SZA,,,,,,,,,,,
Numb,2003,Linkin Park,,,,,,,,,,,
Tormenta (feat. Bad Bunny),2023,"Gorillaz, Bad Bunny",,,,,,,,,,,
on the street (with J. Cole),2023,"j-hope, J. Cole",,,,,,,,,,,
One Thing At A Time,2022,Morgan Wallen,,,,,,,,,,,
Miss You,2022,"Robin Schulz, Oliver Tree",,,,,,,,,,,
Ainï¿½ï¿½ï¿½t Tha,2023,Morgan Wallen,,,,,,,,,,,
Thinkinï¿½ï¿½ï¿½ B,2023,Morgan Wallen,,,,,,,,,,,
Private Landing (feat. Justin Bieber & Future),2023,"Don Toliver, Future, Justin Bieber",,,,,,,,,,,
Everything I Love,2023,Morgan Wallen,,,,,,,,,,,
Heaven,2023,Niall Horan,,,,,,,,,,,
LET GO,2022,Central Cee,,,,,,,,,,,
Sial,2023,Mahalini,,,,,,,,,,,
I Wrote The Book,2023,Morgan Wallen,,,,,,,,,,,
"Apna Bana Le (From ""Bhediya"")",2022,"Arijit Singh, Sachin-Jigar",,,,,,,,,,,
SPIT IN MY FACE!,2022,ThxSoMch,,,,,,,,,,,
PLAYA DEL INGLï¿½,2022,"Myke Towers, Quevedo",,,,,,,,,,,
Man Made A Bar (feat. Eric Church),2023,"Morgan Wallen, Eric Church",,,,,,,,,,,
Red Ruby Da Sleeze,2023,Nicki Minaj,,,,,,,,,,,
Kahani Suno 2.0,2022,Kaifi Khalil,,,,,,,,,,,
Nobody Gets Me,2022,SZA,,,,,,,,,,,
PERO Tï¿,2023,"Karol G, Quevedo",,,,,,,,,,,
Hype Boy,2022,NewJeans,,,,,,,,,,,
Bloody Mary,2011,Lady Gaga,,,,,,,,,,,
Monotonï¿½,2022,"Ozuna, Shakira",,,,,,,,,,,
ýýý98 Braves,2023,Morgan Wallen,,,,,,,,,,,
WANDA,2023,Quevedo,,,,,,,,,,,
Thought You Should Know,2022,Morgan Wallen,,,,,,,,,,,
In The End,2000,Linkin Park,,,,,,,,,,,
Zona De Perigo,2022,Leo Santana,,,,,,,,,,,
Lovezinho,2022,Treyce,,,,,,,,,,,
I Like You (A Happier Song) (with Doja Cat),2022,"Post Malone, Doja Cat",,,,,,,,,,,
Neverita,2022,Bad Bunny,,,,,,,,,,,
Vista Al Mar,2022,Quevedo,,,,,,,,,,,
Sem Alianï¿½ï¿½a no ,2022,"MC Xenon, Os Gemeos da Putaria",,,,,,,,,,,
Enemy (with JID) - from the series Arcane League of Legends,2021,"Imagine Dragons, League of Legends, JID, Arcane",,,,,,,,,,,
Revenge,2017,XXXTENTACION,,,,,,,,,,,
Bombonzinho - Ao Vivo,2022,"Israel & Rodolffo, Ana Castela",,,,,,,,,,,
LA CANCIï¿½,2019,"J Balvin, Bad Bunny",,,,,,,,,,,
Quï¿½ï¿½ Ago,2022,"Yuridia, Angela Aguilar",,,,,,,,,,,
Love Again,2023,The Kid Laroi,,,,,,,,,,,
After Hours,2020,The Weeknd,,,,,,,,,,,
About Damn Time,2022,Lizzo,,,,,,,,,,,
Born With A Beer In My Hand,2023,Morgan Wallen,,,,,,,,,,,
ýýýýýýýýýýýýýýýýýýýýý,2020,Fujii Kaze,,,,,,,,,,,
Besos Moja2,2022,"Wisin & Yandel, ROSALï¿½",,,,,,,,,,,
Maan Meri Jaan,2022,King,,,,,,,,,,,
Moscow Mule,2022,Bad Bunny,,,,,,,,,,,
My Universe,2021,"Coldplay, BTS",,,,,,,,,,,
Devil Donï¿½ï¿½ï¿½,2023,Morgan Wallen,,,,,,,,,,,
LLYLM,2023,ROSALï¿½,,,,,,,,,,,
